quote_date,paper,exch,open,high,low,close,volume,value
20121112,GOOGL,Nasdaq,331.88,334.90,330.44,332.95,2485312,1657330086
20121109,GOOGL,Nasdaq,327.32,334.17,325.15,331.51,6060866,4006872282
20121108,GOOGL,Nasdaq,335.10,335.75,325.62,326.14,5098152,3360717278
20121107,GOOGL,Nasdaq,337.50,339.12,333.25,333.56,4342020,2914641342
20121106,GOOGL,Nasdaq,342.74,343.25,338.77,340.86,3063782,2088960744
20121105,GOOGL,Nasdaq,342.25,343.43,337.78,341.48,3162278,2152083960
20121102,GOOGL,Nasdaq,347.39,347.77,343.69,343.96,4448980,3074605864
20121101,GOOGL,Nasdaq,339.75,345.45,339.36,343.80,4010414,2755345864
20121031,GOOGL,Nasdaq,339.93,340.50,337.50,340.15,2933326,1989673372
20121026,GOOGL,Nasdaq,338.25,341.51,335.60,337.57,3797552,2567594406
20121025,GOOGL,Nasdaq,340.00,341.00,336.75,338.88,3189326,2161932892
20121024,GOOGL,Nasdaq,343.40,343.50,337.63,338.65,4850706,3299324698
20121023,GOOGL,Nasdaq,336.00,343.67,336.00,340.18,5717208,3898494594
20121022,GOOGL,Nasdaq,340.50,342.31,334.85,339.33,7647648,5171605782
20121019,GOOGL,Nasdaq,352.79,353.35,336.00,340.89,21868932,15043230136
20121018,GOOGL,Nasdaq,377.77,379.71,338.00,347.50,24180698,17054703042
20121017,GOOGL,Nasdaq,371.98,378.17,370.13,377.75,4417262,3322313614
20121016,GOOGL,Nasdaq,370.06,373.50,368.23,372.35,3093622,2298753940
20121015,GOOGL,Nasdaq,370.97,371.92,365.35,370.49,5533328,4076249308
20121012,GOOGL,Nasdaq,375.93,377.44,372.05,372.38,4586600,3434058002
20121011,GOOGL,Nasdaq,376.45,379.25,375.14,375.74,4569622,3445594014
20121010,GOOGL,Nasdaq,370.93,373.76,369.14,372.28,3989968,2965703698
20121009,GOOGL,Nasdaq,379.83,380.66,371.26,372.05,5886574,4408872830
20121008,GOOGL,Nasdaq,380.50,381.79,377.07,378.92,3867922,2932634422
20121005,GOOGL,Nasdaq,385.36,387.19,382.50,383.82,5271920,4061731584
20121004,GOOGL,Nasdaq,381.38,384.94,379.70,384.02,4764032,3647966118
20121003,GOOGL,Nasdaq,377.86,381.96,376.10,381.25,4244618,3222073262
20121002,GOOGL,Nasdaq,382.60,383.00,375.13,378.50,5362452,4057357820
20121001,GOOGL,Nasdaq,379.52,382.50,378.11,380.89,5997178,4560521804
20120928,GOOGL,Nasdaq,377.07,379.65,375.57,377.25,5286114,3993062614
20120927,GOOGL,Nasdaq,379.98,381.42,375.82,378.25,7605162,5758903354
20120926,GOOGL,Nasdaq,374.93,380.62,370.50,376.73,11207668,8424993452
20120925,GOOGL,Nasdaq,376.52,382.44,373.83,374.58,11891236,9005127804
20120924,GOOGL,Nasdaq,365.50,375.02,365.12,374.69,6897950,5136167552
20120921,GOOGL,Nasdaq,366.11,367.46,365.06,367.00,9698718,7110106122
20120920,GOOGL,Nasdaq,362.24,365.69,360.61,364.06,5695098,4134907314
20120919,GOOGL,Nasdaq,358.75,364.28,358.20,363.75,5879292,4256812864
20120918,GOOGL,Nasdaq,353.89,359.33,353.39,359.14,4068656,2909554316
20120917,GOOGL,Nasdaq,354.06,356.44,352.50,354.99,2818928,1999013418
20120914,GOOGL,Nasdaq,354.80,356.50,353.50,354.84,4964280,3522993064
20120913,GOOGL,Nasdaq,346.55,354.50,345.27,353.02,5197404,3644039336
20120912,GOOGL,Nasdaq,344.70,347.45,340.44,345.44,5035432,3465907266
20120911,GOOGL,Nasdaq,348.98,350.32,345.50,346.10,3617104,2513141618
20120910,GOOGL,Nasdaq,354.88,356.40,349.19,350.38,4761988,3356682352
20120907,GOOGL,Nasdaq,350.00,356.12,348.83,353.07,6276132,4434747576
20120906,GOOGL,Nasdaq,342.98,349.94,342.37,349.70,5898638,4096931116
20120905,GOOGL,Nasdaq,340.00,343.25,339.57,340.36,3271514,2233260740
20120904,GOOGL,Nasdaq,342.27,342.50,336.75,340.52,3666854,2490770804
20120831,GOOGL,Nasdaq,342.00,344.29,340.02,342.55,4046198,2770955730
20120830,GOOGL,Nasdaq,342.12,343.69,340.09,340.84,3179280,2173458102
20120829,GOOGL,Nasdaq,344.00,344.50,344.00,344.00,5744528,3929683492
20120828,GOOGL,Nasdaq,332.50,338.81,332.37,338.62,4034472,2721889570
20120827,GOOGL,Nasdaq,331.50,336.00,329.62,334.61,4981170,3324104808
20120824,GOOGL,Nasdaq,337.80,340.23,337.04,339.31,2596576,1760564576
20120823,GOOGL,Nasdaq,337.13,340.24,335.50,338.40,3418242,2311649966
20120822,GOOGL,Nasdaq,333.69,340.30,333.35,338.59,3753500,2535888184
20120821,GOOGL,Nasdaq,336.56,339.00,331.08,334.75,4154944,2786058824
20120820,GOOGL,Nasdaq,337.75,339.44,336.33,337.77,3414178,2306861230
20120817,GOOGL,Nasdaq,337.06,338.62,335.85,338.57,4150724,2801034202
20120816,GOOGL,Nasdaq,333.75,337.32,333.54,336.44,3333854,2237899620
20120815,GOOGL,Nasdaq,335.14,337.12,332.05,333.77,4676048,3127523234
20120814,GOOGL,Nasdaq,329.62,336.43,329.50,334.33,7130728,4765028508
20120813,GOOGL,Nasdaq,323.71,330.07,323.34,330.00,6377222,4169153796
20120810,GOOGL,Nasdaq,319.30,321.12,318.06,321.00,2720810,1739142410
20120809,GOOGL,Nasdaq,322.25,323.19,320.76,321.18,2028884,1305082700
20120808,GOOGL,Nasdaq,319.52,322.94,319.25,321.12,2479698,1594459464
20120807,GOOGL,Nasdaq,320.89,322.13,318.24,320.27,3880446,2484818518
20120806,GOOGL,Nasdaq,319.81,324.69,319.61,321.41,3508246,2264095364
20120803,GOOGL,Nasdaq,320.00,321.86,318.07,320.67,3672244,2353920910
20120802,GOOGL,Nasdaq,312.75,319.01,311.70,314.38,3802764,2396749720
20120801,GOOGL,Nasdaq,318.65,319.75,315.69,316.34,3582110,2276840414
20120731,GOOGL,Nasdaq,314.13,318.25,314.11,316.49,3486860,2207963266
20120730,GOOGL,Nasdaq,318.02,321.30,314.75,316.15,4155642,2637128508
20120727,GOOGL,Nasdaq,309.44,317.50,308.75,317.48,6955142,4365098090
20120726,GOOGL,Nasdaq,307.50,308.44,305.01,306.68,3288672,2020482642
20120725,GOOGL,Nasdaq,304.16,306.69,302.69,304.00,3499688,2132713490
20120724,GOOGL,Nasdaq,307.50,308.96,302.17,303.79,3821696,2329880402
